-100,-100,137033.92846,26973.0,188811.0,0.14285714285714285
2,-100,59297.74832000001,8991.0,54945.0,0.16363636363636364
6,-100,15768.631019999997,2997.0,54945.0,0.05454545454545454
16,-100,22672.178880000003,7992.0,37962.0,0.21052631578947367
2,9,.,.,.,.
6,9,.,.,.,.
16,9,3943.8784,999.0,4995.0,0.2
-100,9,3943.8784,999.0,4995.0,0.2
2,10,.,.,.,.
6,10,12518.292599999999,1998.0,21978.0,0.09090909090909091
16,10,.,.,.,.
-100,10,12518.292599999999,1998.0,21978.0,0.09090909090909091
2,5,.,.,.,.
6,5,0.0,0.0,13986.0,0.0
16,5,0.0,0.0,1998.0,0.0
-100,5,0.0,0.0,15984.0,0.0
2,8,0.0,0.0,3996.0,0.0
6,8,3250.33842,999.0,13986.0,0.07142857142857142
16,8,0.0,1998.0,3996.0,0.5
-100,8,3250.33842,2997.0,21978.0,0.13636363636363635
2,15,.,.,.,.
6,15,.,.,.,.
16,15,16773.32764,3996.0,10989.0,0.36363636363636365
-100,15,16773.32764,3996.0,10989.0,0.36363636363636365
2,12,0.0,0.0,999.0,0.0
6,12,.,.,.,.
16,12,1954.9728400000001,999.0,7992.0,0.125
-100,12,1954.9728400000001,999.0,8991.0,0.1111111111111111
2,4,0.0,0.0,2997.0,0.0
6,4,0.0,0.0,4995.0,0.0
16,4,.,.,.,.
-100,4,0.0,0.0,7992.0,0.0
2,7,.,.,.,.
6,7,.,.,.,.
16,7,0.0,0.0,4995.0,0.0
-100,7,2232.1967600000003,999.0,10989.0,0.09090909090909091
2,0,6932.67878,1998.0,8991.0,0.2222222222222222
6,0,.,.,.,.
16,0,0.0,0.0,1998.0,0.0
-100,0,6932.67878,1998.0,10989.0,0.18181818181818182
2,1,38624.23866,4995.0,14985.0,0.3333333333333333
6,1,.,.,.,.
16,1,0.0,0.0,999.0,0.0
-100,1,38624.23866,4995.0,15984.0,0.3125
2,18,.,.,.,.
6,18,.,.,.,.
16,18,.,.,.,.
-100,18,0.0,0.0,6993.0,0.0
2,13,0.0,0.0,999.0,0.0
6,13,.,.,.,.
16,13,.,.,.,.
-100,13,15543.586660000003,2997.0,10989.0,0.2727272727272727
2,14,.,.,.,.
6,14,.,.,.,.
16,14,.,.,.,.
-100,14,0.0,0.0,4995.0,0.0
2,11,0.0,0.0,2997.0,0.0
6,11,.,.,.,.
16,11,.,.,.,.
-100,11,21519.586820000004,2997.0,8991.0,0.3333333333333333
2,3,13740.83088,1998.0,18981.0,0.10526315789473684
6,3,.,.,.,.
16,3,.,.,.,.
-100,3,13740.83088,1998.0,18981.0,0.10526315789473684
2,17,.,.,.,.
6,17,.,.,.,.
16,17,.,.,.,.
-100,17,0.0,0.0,6993.0,0.0
